Identification,,,Tool Context,,Tool Accessibility and Sustainability,,,,,,Openness,
"```json
{
    ""title"": ""FbHash: A New Similarity Hashing Scheme for Digital Forensics""
}
```",FbHash,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""File fragment encoding classi ï¬cationdAn empirical approach""
}
```",zsniff,2013,created,academic_research_DFRWS,http://roussev.net/zsniff,personal website,webpage,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Finding and identifying text in 900 Ã¾languages""
}
```",LA-Strings,2012,created,academic_research_DFRWS,http://la-strings.sourceforge.net/,SourceForge,repository platform,accessible,no recent activity,Last Update: 2023-07-25,open-source,
"```json
{
    ""title"": ""Fingerprinting Android packaging: Generating DNAs for malware detection""
}
```",APK-DNA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Fingerprinting Android packaging: Generating DNAs for malware detection""
}
```",ROAR,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Force Open: Lightweight black box ï¬le repair""
}
```",Force Open,2017,created,academic_research_DFRWS,https://github.com/ldpi/forceopen,Github,repository platform,unavailable,not observable,not observable,open-source,
"```json
{
    ""title"": ""Forensic analysis for AI speaker with display Echo Show 2nd generation as a case study""
}
```",Cloud-based IoT Forensic Toolkit (CIFT),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Forensic analysis of cloud-native artifacts""
}
```",kumodocs,2016,created,academic_research_DFRWS,https://github.com/kumofx/kumodocs,Github,repository platform,accessible,recent activity,24-Nov-25,open-source,
"```json
{
    ""title"": ""Forensic analysis of ReFS journaling""
}
```",Awesome ReFS Investigation tool (ARIN),2021,created,academic_research_DFRWS,https://github.com/horensic/ARIN,Github,repository platform,accessible,no recent activity,9-Aug-20,open-source,
"```json
{
    ""title"": ""Forensic analysis of SQL server transaction log in unallocated area of file system""
}
```",SQL Transaction Log Parser,2023,created,academic_research_DFRWS,https://github.com/dbforensic/sql-transaction-log-parser,Github,repository platform,accessible,no recent activity,11-May-23,open-source,
"```json
{
    ""title"": ""Forensic Analysis of the Resilient File System (ReFS) Version 3.4""
}
```",page carver,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Forensic feature extraction and cross-drive analysis""
}
```",feature extractors,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Forensic feature extraction and cross-drive analysis""
}
```",Multi-Drive Correlator (MDC),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Forensic investigation of Google Meet for memory and browser artifacts""
}
```",memory artifact extraction tool,2022,created,academic_research_DFRWS,https://github.com/farkhund/googlemeet,Github,repository platform,accessible,no recent activity,18-Jul-22,open-source,
"```json
{
    ""title"": ""Forensic investigation of peer-to-peer ï¬le sharing networks""
}
```",RoundUp,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""ForensicLLM: A local large language model for digital forensics""
}
```",ForensicLLM,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Forensics acquisition dAnalysis and circumvention of samsung secure boot enforced common criteria mode""
}
```",Exploit based on SBOOT vulnerability,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""ForTrace - A holistic forensic data set synthesis framework""
}
```",ForTrace,2022,created,academic_research_DFRWS,https://github.com/dasec/ForTrace,Github,repository platform,accessible,no recent activity,28-Aug-22,open-source,
"```json
{
    ""title"": ""FORZA â€“ Digital forensics investigation framework that incorporate legal issues""
}
```",FORZA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""FRASH: A framework to test algorithms of similarity hashing""
}
```",FRASH,2013,created,academic_research_DFRWS,https://www.dasec.h-da.de/staff/breitinger-frank/#downloads,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""FRASHER eA framework for automated evaluation of similarity hashing""
}
```",FRASHER,2022,created,academic_research_DFRWS,https://github.com/warlmare/FRASHER,Github,repository platform,accessible,recent activity,15-Jun-25,open-source,
"```json
{
    ""title"": ""Gaslight: A comprehensive fuzzing architecture for memory forensics frameworks""
}
```",Gaslight,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""GBKPA and AuxShield: Addressing adversarial robustness and transferability in android malware detection""
}
```",Gradient Based K Perturbation Attack (GBKPA),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""GBKPA and AuxShield: Addressing adversarial robustness and transferability in android malware detection""
}
```",AuxShield,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Generic Metadata Time Carving""
}
```",cPTS,2020,created,academic_research_DFRWS,https://github.com/RuneN007/cPTS,Github,repository platform,accessible,no recent activity,13-Aug-20,open-source,
"```json
{
    ""title"": ""Generic Metadata Time Carving""
}
```",NTFS semantic parser,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Generic Metadata Time Carving""
}
```",Ext4 semantic parser,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Generic RAID reassembly using block-level entropy""
}
```",open source prototype,2016,created,academic_research_DFRWS,https://www1.informatik.uni-erlangen.de/content/forensic-raid-recovery/,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Ghost protocol eSnapchat as a method of surveillance""
}
```",developed scripts,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Grand theft API: A forensic analysis of vehicle cloud data""
}
```",gta.py,2024,created,academic_research_DFRWS,https://github.com/FHMS-ITS/Grand_Theft_API,Github,repository platform,accessible,recent activity,16-Mar-24,open-source,
"```json
{
    ""title"": ""GreenForensics: Deep hybrid edge-cloud detection and forensics system for battery-performance-balance conscious devices""
}
```",GreenForensics,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""GreenForensics: Deep hybrid edge-cloud detection and forensics system for battery-performance-balance conscious devices""
}
```",WinDRo,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Leveraging memory forensics to investigate and detect illegal 3D printing activities""
}
```",SliceSnap,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Leveraging memory forensics to investigate and detect illegal 3D printing activities""
}
```",G-parser,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Hash-based carving: Searching media for complete ï¬les and ï¬le fragments with sector hashing and hashdb""
}
```",hashdb,2015,created,academic_research_DFRWS,https://github.com/simsong/hashdb.git,Github,repository platform,accessible,no recent activity,21-Mar-19,open-source,
"```json
{
    ""title"": ""Hiding Process Memory Via Anti-Forensic Techniques""
}
```",Rekall plugins,2020,created,academic_research_DFRWS,https://github.com/DFRWS-memory-subversion/DFRWS-USA-2020,Github,repository platform,accessible,no recent activity,5-Aug-20,open-source,
"```json
{
    ""title"": ""High-speed search using Tarari content processor in digital forensics""
}
```",HSFS (High Speed Forensic System),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive â€™s snapshot application""
}
```",PyShot,2024,created,academic_research_DFRWS,https://github.com/npseudo1806/pyShot/tree/master,Github,repository platform,accessible,recent activity,5-Feb-24,open-source,
"```json
{
    ""title"": ""HookTracer: A System for Automated and Accessible API Hooks Analysis""
}
```",hooktracer,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Hviz: HTTP(S) traf ï¬c aggregation and visualization for network forensics""
}
```",Hviz,2015,created,academic_research_DFRWS,http://hviz.gugelmann.com,personal website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Identification of data wiping tools based on deletion patterns in ReFS $Logfile""
}
```",ReFS_Detector,2023,created,academic_research_DFRWS,https://github.com/jamemanionda/ReFS_Detector,Github,repository platform,accessible,recent activity,7-Mar-24,open-source,
"```json
{
    ""title"": ""Identifying almost identical files using context triggered piecewise hashing""
}
```",ssdeep,2006,created,academic_research_DFRWS,http://ssdeep.sourceforge.net/,SourceForge,repository platform,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Image-based kernel ï¬ngerprinting""
}
```",sdkernel,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Improved recovery and reconstruction of DEFLATEd ï¬les""
}
```",ZipRec 1.0,2013,created,academic_research_DFRWS,http://ziprec.sourceforge.net/,SourceForge,repository platform,accessible,no recent activity,4/27/2014,open-source,
"```json
{
    ""title"": ""Improving trace synthesis by utilizing computer vision for user action emulation""
}
```",pyautoqemu,2023,created,academic_research_DFRWS,https://wiwi-gitlab.uni-muenster.de/itsecurity/pyautoqemu,Gitlab,repository platform,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux""
}
```",mac_compressed_swap,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux""
}
```",mac_dump_maps,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux""
}
```",linux_compressed_swap,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""In lieu of swap: Analyzing compressed RAM in Mac OS X and Linux""
}
```",linux_dump_maps,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""In the time loop: Data remanence in main memory of virtual machines""
}
```",writeDATA,2024,created,academic_research_DFRWS,https://github.com/ella-savchenko/InTheTimeLoop.git,Github,repository platform,accessible,recent activity,14-May-24,open-source,
"```json
{
    ""title"": ""Inception: Virtual Space in Memory Space in Real Space eMemory Forensics of Immersive Virtual Reality with the HTC Vive""
}
```",Vivedump,2019,created,academic_research_DFRWS,https://github.com/unhcfreg/VR4Sec,Github,repository platform,accessible,no recent activity,14-Aug-19,open-source,
"```json
{
    ""title"": ""Information assurance in a distributed forensic cluster""
}
```",FCluster,,created,academic_research_DFRWS,http://www.fcluster.org.uk,personal website,webpage,accessible,no recent activity,14-Aug-19,open-source,
"```json
{
    ""title"": ""Information assurance in a distributed forensic cluster""
}
```",FClusterfs,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation""
}
```",Cascaded Autoencoders (CAEs),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Insider threat prediction based on unsupervised anomaly detection scheme for proactive forensic investigation""
}
```",Hypergraph Correction Module,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Integrity verification of user space code""
}
```",hashbuild.py,,created,academic_research_DFRWS,https://github.com/a-white,Github,repository platform,accessible,no recent activity,7-Aug-13,open-source,
"```json
{
    ""title"": ""Integrity verification of user space code""
}
```",hashtest.py,2013,created,academic_research_DFRWS,https://github.com/a-white,Github,repository platform,accessible,no recent activity,7-Aug-13,open-source,
"```json
{
    ""title"": ""IntroLib: Efï¬ cient and transparent library call introspection for malware forensics""
}
```",IntroLib,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""InVEST: Intelligent visual email search and triage""
}
```",InVEST,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""IoT forensic challenges and opportunities for digital traces""
}
```",iSmartAlarm Plugin,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""IoT forensic challenges and opportunities for digital traces""
}
```",QBee Camera Plugin,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""IoT forensic challenges and opportunities for digital traces""
}
```",Standalone Python Script for iSmartAlarm,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""IoT network traf ï¬c analysis: Opportunities and challenges for forensic investigators?""
}
```",IoT Network Analyzer,2021,created,academic_research_DFRWS,https://github.com/Dyvels/IoTAnalyzer,Github,repository platform,accessible,no recent activity,26-May-20,open-source,
"```json
{
    ""title"": ""Exploiting database storage for data exfiltration""
}
```",Hidden Database Records (NtJZ),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Your forensic AI-assistant, SERENA: Systematic extraction and reconstruction for enhanced A2P message forensics""
}
```",SERENA,2025,created,academic_research_DFRWS,https://github.com/jieonk/SERENA,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""JTAG-based PLC memory acquisition framework for industrial control systems""
}
```",Kyros,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Juicing V8: A primary account for the memory forensics of the V8 JavaScript engine""
}
```",V8MapScan,2022,created,academic_research_DFRWS,https://github.com/unhcfreg/V8-Memory-Forensics-Plugins,Github,repository platform,accessible,no recent activity,22-Jun-23,open-source,
"```json
{
    ""title"": ""Key-hiding on the ARM platform""
}
```",key_research,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""KVMIveggur : Flexible, secure, and ef ï¬cient support for self-service virtual machine introspection""
}
```",KVMIveggur,2022,created,academic_research_DFRWS,https://github.com/smartvmi/KVMIveggur,Github,repository platform,accessible,no recent activity,5-Aug-21,open-source,
"```json
{
    ""title"": ""Out of Control: Igniting SCADA investigations with an HMI forensics framework and the ignition forensics artifact carving tool (IFACT)""
}
```",IFACT,2025,created,academic_research_DFRWS,https://github.com/LaSeanS/IFACT,Github,repository platform,accessible,excluded,excluded,open-source,
"```json
{
    ""title"": ""Leaving timing-channel ï¬ngerprints in hidden service log ï¬les""
}
```",Reed Solomon code,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Lessons learned from the construction of a Korean software reference data set for digital forensics""
}
```",KRDS Manager,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,proprietary,
"```json
{
    ""title"": ""Lest we forget: Cold-boot attacks on scrambled DDR3 memory""
}
```",DDR3descramble,2016,created,academic_research_DFRWS,https://www1.informatik.uni-erlangen.de/filepool/mem/ddr3descramble.tar.gz,project/personal server,archive download,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Leveraging relocations in ELF-binaries for Linux kernel version identi ï¬cation""
}
```",codeid-elf,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Leveraging the SRTP protocol for over-the-network memory acquisition of a GE Fanuc Series 90-30""
}
```",GE-SRTP plugin for Wireshark,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Leveraging the SRTP protocol for over-the-network memory acquisition of a GE Fanuc Series 90-30""
}
```",Forensic tool for GE Fanuc Series 90-30,2017,created,academic_research_DFRWS,https://www.unhcfreg.com/datasetsandtools,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""LibDroid: Summarizing information ï¬‚ow of android native libraries via static analysis""
}
```",LibDroid,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Limewire examinations""
}
```",Ascan,2008,created,academic_research_DFRWS,not provided,not observable,restricted distribution,restricted,not observable,not observable,not-specified,
"```json
{
    ""title"": ""LINCS: Towards building a trustworthy litigation hold enabled cloud storage system""
}
```",LINCS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""LINCS: Towards building a trustworthy litigation hold enabled cloud storage system""
}
```",litigation hold verification tool,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Linux memory forensics: Dissecting the user space process heap""
}
```",heapinfo,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Linux memory forensics: Dissecting the user space process heap""
}
```",heapdump,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Linux memory forensics: Dissecting the user space process heap""
}
```",heapsearch,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Linux memory forensics: Dissecting the user space process heap""
}
```",heaprefs,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Live memory forensics of mobile phones""
}
```",memgrab,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Live memory forensics of mobile phones""
}
```",Chat Bot,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Live memory forensics of mobile phones""
}
```",Message Script Generator (MSG),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""LogExtractor: Extracting digital evidence from android log messages via string and taint analysis""
}
```",LogExtractor,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Uncovering Linux Desktop Espionage""
}
```",xevents,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Uncovering Linux Desktop Espionage""
}
```",xinputextensions,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Uncovering Linux Desktop Espionage""
}
```",xclients,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Uncovering Linux Desktop Espionage""
}
```",pipewire,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Uncovering Linux Desktop Espionage""
}
```",v4l2,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Automated NoSQL database carver""
}
```",FUVI,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""MalDozer: Automatic framework for android malware detection using deep learning""
}
```",MalDozer,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""MalDy: Portable, data-driven malware detection using natural language processing and machine learning techniques on behavioral analysis reports""
}
```",MalDy,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Malware family classification via efficient Huffman features""
}
```",eHf,2021,created,academic_research_DFRWS,https://anonymous.4open.science/r/068ed7f6-7957-4440-87cf-350b71e8feae/,Github,repository platform,accessible,no recent activity,12-Mar-21,open-source,
"```json
{
    ""title"": ""MARS : The first line of defense for IoT incident response""
}
```",MARS,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""md5bloom : Forensic ï¬lesystem hashing revisited""
}
```",md5bloom,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""MEGA: A tool for Mac OS X operating system and application forensics""
}
```",MEGA,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_memory_only,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_amsi,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_fields,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_field_values,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_il_methods,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory analysis of .NET and .Net Core applications""
}
```",dotnet_class_references,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory Analysis of macOS Page Queues""
}
```",mac_walkqs,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory Analysis of macOS Page Queues""
}
```",mac_find_page,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensic analysis of a programmable logic controller in industrial control systems""
}
```",Memory Analysis Profile,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picolist,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picoscan,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picothreads,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picothrdscan,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picoelfflist,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picoelfdump,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picoldrmodules,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picolsof,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory forensics and the Windows Subsystem for Linux""
}
```",picobash,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Memory FORESHADOW: Memory FOREnSics of HArDware CryptOcurrency wallets eA Tool and Visualization Framework""
}
```",FORESHADOW,2020,created,academic_research_DFRWS,https://github.com/UNHcFREG/FORESHADOW,Github,repository platform,accessible,no recent activity,31-Mar-20,open-source,
"```json
{
    ""title"": ""MIC: Memory analysis of IndexedDB data on Chromium-based applications""
}
```",MIC,2024,created,academic_research_DFRWS,https://github.com/naaya17/MIC,Github,repository platform,accessible,recent activity,14-Oct-24,open-source,
"```json
{
    ""title"": ""Modern ships Voyage Data Recorders: A forensics perspective on the Costa Concordia shipwreck""
}
```",custom Python script,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Modern ships Voyage Data Recorders: A forensics perspective on the Costa Concordia shipwreck""
}
```",Bourne Shell scripts,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Module extraction and DLL hijacking detection via single or multiple memory dumps""
}
```",Modex,2023,created,academic_research_DFRWS,https://github.com/reverseame/modex,Github,repository platform,accessible,no recent activity,13-Jun-23,open-source,
"```json
{
    ""title"": ""Module extraction and DLL hijacking detection via single or multiple memory dumps""
}
```",Intermodex,2023,created,academic_research_DFRWS,https://github.com/reverseame/modex,Github,repository platform,accessible,no recent activity,13-Jun-23,open-source,
"```json
{
    ""title"": ""Monitoring an anonymity network: Toward the deanonymization of hidden services""
}
```",i2pnode,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Multidimensional investigation of source port 0 probing""
}
```",TCPdumpfilter,2014,created,academic_research_DFRWS,http://www.danielmiessler.com/study/tcpdump/,personal website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Network and device forensic analysis of Android social-messaging applications""
}
```",Datapp,2015,created,academic_research_DFRWS,https://www.unhcfreg.com,research-group website,webpage,accessible,not observable,not observable,open-source,
"```json
{
    ""title"": ""Network forensic investigation in OpenFlow networks with ForCon""
}
```",ForCon,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Neural AutoForensics: Comparing Neural Sample Search and Neural Architecture Search for malware detection and forensics""
}
```",DRo,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""New acquisition method based on firmware update protocols for Android smartphones""
}
```",Android Physical Dump (APD),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""Nugget: A digital forensics language""
}
```",nugget,,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
"```json
{
    ""title"": ""OBA2: An Onion approach to Binary code Authorship Attribution""
}
```",Register Flow Graph (RFG),,created,academic_research_DFRWS,not provided,not observable,prototype implementation,unavailable,not observable,not observable,not-specified,
